f1,f2,f3,f4,label
2.5042872640610105,2.6206168661855616,3.055387654546088,1.5436899053565587,0
5.271269626812885,3.6145663358348745,5.052986648980566,4.581022762127828,1
9.021696852187286,6.981623603734911,7.000668971355222,8.599291712830867,2
2.5859686147143304,1.7567721637390947,1.7397108674630475,0.32069902106159587,0
3.4101157823135875,3.415811077738624,5.132910538055866,3.6537474630758586,1
7.367948254190992,8.336532133395993,7.868368853875668,7.6390449642724345,2
1.593593721748776,1.335690731305054,2.052481623492585,2.8438791667337178,0
5.269351234269915,6.2139724666087535,4.464094641495713,4.607132438989301,1
7.488354966518988,8.801181282051187,7.354111113881002,9.970452523338407,2
0.34654458227250573,2.6243078023808493,1.516728602805218,1.5407576697305267,0
5.851676757242477,5.346194672600424,5.450371382914383,5.426360293308808,1
7.354797244438515,8.270686447103357,9.897420296604707,7.853103028074738,2
1.348105008708675,1.2183032224508206,0.9542084201672283,1.8454194108832718,0
6.857486464154494,4.256264637625689,4.347828261840691,5.921871706190357,1
8.129334500871177,6.506135267264966,7.923238916757844,6.975349614905811,2
1.850248603305809,0.9788476363547982,1.8159219767934138,1.161597145182781,0
4.889906492798554,5.349223301674646,3.8473412331693027,5.878513242749818,1
8.284585813187233,7.466150016072908,8.036383987644381,8.519630221656188,2
1.4277267880806854,2.157017125279122,3.0392862111828833,2.037222969842675,0
4.589699611005682,5.565726643680565,4.192648245699513,5.769161448789642,1
7.4434064101593,9.071801442347658,8.110831519948473,6.971724173409644,2
2.613847568330312,1.178696491766194,1.7282381594365261,2.6367062498310445,0
6.697925749875611,6.646605581300476,4.9536387532521555,5.344075081679199,1
8.037593639314958,8.885074013955519,9.298643274947423,6.710636826854352,2
3.423750748482308,1.9715007895636032,1.792996216980242,0.931042431364266,0
3.9112319775180966,4.428596580362843,4.356681113049704,5.9707761785433515,1
8.039228437594888,7.210735685828176,6.516689935806894,8.15394963913749,2
1.001424874613305,0.6940839760964843,2.794451540204618,2.801901795401678,0
5.222446178536197,4.422579682601803,4.590202655652965,5.721106681082409,1
8.543913150139462,6.269304299019659,7.232037359750954,6.82370261666329,2
2.079627728142337,1.2983682663721416,2.0497592479769513,2.2042478885478864,0
4.829503271672269,4.893133212823698,4.465028056839301,3.45069578706838,1
6.719210797385768,8.046901191636126,6.998948402142658,7.126782587289488,2
3.5800998233794528,3.218092944416002,1.6784171910565677,2.903202166392601,0
4.466591756878477,3.0323534017310507,5.644224041024128,5.8505107735653805,1
7.3592214964451195,7.750695520009974,7.907818082505621,8.582506994399917,2
2.4263850924466754,2.4844916388179126,1.300272406584293,1.4089827343558854,0
4.695619444283261,5.025792036510621,4.757307651655254,6.390631755131786,1
6.264850387016187,7.05145886392199,9.266897750034138,9.106100093919665,2
2.486326051645961,1.032264857531972,2.2923025085412716,1.0853007932684535,0
4.207282833214274,3.8542152906690283,5.940805231417188,4.551181787758066,1
7.251153684143898,6.679065345797692,6.890559394351698,8.142906703772896,2
2.522560088158091,1.5471966465272153,2.202113225458404,2.0560376690664492,0
5.5012186166874795,5.868838155515692,3.598928312632504,5.147103435735894,1
7.755707687268696,7.667100130574437,9.872426682332112,6.6623407944895385,2
0.7181733541339672,2.3066736858386054,3.1294401494226216,2.539527959535256,0
7.000525651893328,4.864322816169143,5.159449466409001,3.582074446046169,1
6.860051080373195,8.395432919101898,7.016427525488767,7.248233021900714,2
1.4951040301629877,0.7146669983414471,0.9974378148218923,2.9001968501439803,0
4.66732927691274,4.387406736367904,4.496824794715088,5.00969145179915,1
9.13436234294813,6.955106591066162,6.329637443058474,6.063328246030476,2
2.555499675547141,2.93987027197585,2.9985185825006395,3.6965697356300677,0
4.135983192506856,4.515238738550531,5.583691233523697,5.5658602019676175,1
7.086585353996186,7.7162700305433125,8.635762132907836,7.590186325930263,2
3.242429114962512,2.379042200122063,0.57787499072338,1.5188339362235193,0
4.639008666935571,5.4897802517636025,5.838944479269453,3.5021874558958417,1
7.506565212085281,7.0792809121133295,7.8217774957097115,8.151423939261917,2
1.9388057616281396,3.2879447122706633,1.850992181034593,2.2540223764446896,0
5.926667832729321,3.841046461435826,5.518550378673099,3.6352513234598356,1
8.825565189078683,9.066104338052416,9.626568687104221,6.65639519160547,2
1.997985007817629,1.1179073257165126,1.5172728815648289,1.376490590948808,0
4.467210434456552,4.710974845959987,4.469961619403899,3.576370778625419,1
9.236912698196903,6.768655667799176,8.720316350295949,7.581037194485596,2
2.3943386401497015,0.34638145652506536,2.552665405498818,1.1713587403699943,0
5.27031795239331,3.8328126841948205,4.488586599411135,5.129442390098187,1
8.221577034978145,7.564413796745556,8.182546856352687,7.88655353875155,2
0.9983329729277093,1.5937796561425888,1.261557848620299,1.3305736625520392,0
5.6068001624426635,5.142304085971376,5.603085198900858,5.356290292478645,1
7.423678957877713,6.430375297692008,8.858315526332282,7.894029332854329,2
2.186663975553165,1.2132049282996875,2.1071678115637518,1.9878036909683425,0
4.207928609510935,4.947388585534288,5.217435883766713,4.595228911869737,1
7.84095537277656,7.068210474547305,7.893099610191116,7.433847861927826,2
2.6904615719028673,1.351103477550307,2.9182686257333623,2.2989729908460808,0
5.195104581034616,4.175581220703019,6.112348953242682,5.012014875160792,1
7.634094653838228,8.464976697477505,7.351519689035904,8.881647350394577,2
0.6677455187442125,1.8016679754367202,2.657447949941086,2.547053215480211,0
5.6403957608958954,4.164085424496506,4.050069357871591,4.851607102911032,1
8.321657954970288,7.885960992088647,8.152650701802875,7.781050971020836,2
2.875594835589285,2.093755525240093,1.3963046058118702,3.6997635488496723,0
6.4693126488874535,5.0014687346788085,5.577858862822672,3.1904642527357154,1
7.528023639111254,7.50719819868904,7.406538886703419,8.809066638656093,2
-0.022130764359018062,2.7975711916010058,3.295361582813305,1.442711556707085,0
6.2723848323648195,5.07439612430832,4.708859937318518,5.2569162442059545,1
7.636286077077125,9.216782222546165,8.265868517315042,8.384505268892381,2
2.1528102540353777,3.048783194312417,2.6237933934711197,2.6320847132488145,0
4.868389553640183,5.12239398115564,4.351802588286548,4.351526796754414,1
8.011716792061666,7.681190426091263,6.655545225411199,7.697051650095843,2
3.1339654219997435,2.735471053744792,2.1736384069258445,2.1069625730557204,0
4.053218815930844,3.4412137288618467,6.4402240988207975,4.119057397334864,1
8.792057376371984,8.859162748792565,7.916666648960231,8.610932116783678,2
